Year_x,Title,Abstract,title_topic,title_topic1,title_topic2,ab_topic,ab_topic1,ab_topic2,Matching_Topics,Fact1,Fact2,Fact3,final_topic,gpt_topic,Cat_L1,Cat_L2,Cat_L3,Cat_L1_Valid,Cat_L2_Valid,Cat_L3_Valid
2024,Vaccine-carditis study: Spanish multicenter registry of inflammatory heart disease after COVID-19 vaccination.,"Vaccines against SARS-CoV-2 have been a major scientific and medical achievement in the control of the COVID-19 pandemic. However, very infrequent cases of inflammatory heart disease have been described as adverse events, leading to uncertainty in the scientific community and in the general population.",covid 19,19 pandemic,covid 19 pandemic,covid 19,sars cov,cov 2_infection,1,Vaccines against SARS-CoV-2 have been a major scientific and medical achievement in the control of the COVID-19 pandemic,"However, very infrequent cases of inflammatory heart disease have been described as adverse events, leading to uncertainty in the scientific community and in the general population.",,covid 19,covid 19,Basic / Translational Research,Genetic & Epigenetic Studies,"Inflammatory Markers (CRP, IL-6, etc.)",True,False,True
2019,Associations of Monounsaturated Fatty Acids From Plant and Animal Sources With Total and Cause-Specific Mortality in Two US Prospective Cohort Studies.,"RATIONALE: Dietary monounsaturated fatty acids (MUFAs) can come from both plant and animal sources with divergent nutrient profiles that may potentially obscure the associations of total MUFAs with chronic diseases. OBJECTIVE: To investigate the associations of cis-MUFA intake from plant (MUFA-P) and animal (MUFA-A) sources with total and cause-specific mortality. METHODS AND RESULTS: We followed 63 412 women from the NHS (Nurses' Health Study; 1990-2012) and 29 966 men from the HPFS (Health Professionals Follow-Up Study; 1990-2012). MUFA-Ps and MUFA-As were calculated based on data collected through validated food frequency questionnaires administered every 4 years and updated food composition databases. During 1 896 864 person-years of follow-up, 20 672 deaths occurred. Total MUFAs and MUFA-Ps were inversely associated with total mortality after adjusting for potential confounders, whereas MUFA-As were associated with higher mortality. When MUFA-Ps were modeled to isocalorically replace other macronutrients, hazard ratios (HRs, 95% CIs) of total mortality were 0.84 (0.77-0.92; P<0.001) for replacing saturated fatty acids, 5% of energy); 0.86 (0.82-0.91; P<0.001) for replacing refined carbohydrates (5% energy); 0.91 (0.85-0.97; P<0.001) for replacing trans fats (2% energy), and 0.77 (0.71-0.82; P<0.001) for replacing MUFA-As (5% energy). For isocalorically replacing MUFA-As with MUFA-Ps, HRs (95% CIs) were 0.74 (0.64-0.86; P<0.001) for cardiovascular mortality; 0.73 (0.65-0.82; P<0.001) for cancer mortality, and 0.82 (0.73-0.91; P<0.001) for mortality because of other causes. CONCLUSIONS: Higher intake of MUFA-Ps was associated with lower total mortality, and MUFA-As intake was associated with higher mortality. Significantly lower mortality risk was observed when saturated fatty acids, refined carbohydrates, or trans fats were replaced by MUFA-Ps, but not MUFA-As. These data suggest that other constituents in animal foods, such as saturated fatty acids, may confound the associations for MUFAs when they are primarily derived from animal products. More evidence is needed to elucidate the differential associations of MUFA-Ps and MUFA-As with mortality. ",depressive_symptom,gene_expression,endothelial_cell,mean_year,cd_cd,adhesion_molecule,0," Higher intake of MUFA-Ps is associated with lower total mortality, while MUFA-As intake is associated with higher mortality. 
 "," Replacing saturated fatty acids, refined carbohydrates, or trans fats with MUFA-Ps is linked to lower mortality risk, but not when replacing with MUFA-As. 
 "," The study suggests that other nutrients in animal foods may confound the associations between MUFAs and mortality when primarily derived from animal products, and more research is needed to understand the differences between MUFA-Ps and MUFA-As",,women's cardiovascular health,Epidemiology & Risk Factors,Lifestyle & Behavioral Factors,Diet & Physical Activity,True,True,True
2025,Neuronal protective effect of Artemisinin in ischemic stroke: Achieved by blocking lysine demethylase 1A-mediated demethylation of sphingosine kinase 2.,"Artemisinin (ART), a natural product isolated from the traditional Chinese plant Artemisia annua L., has shown neuroprotective properties in addition to its well-established antimalarial activities. This study investigates the therapeutic effect of ART in ischemic stroke (IS) and delves into its functional mechanism. Bioinformatics analyses revealed lysine demethylase 1A (KDM1A) as a promising target of ART aberrantly overexpressed in the context of IS. Increased KDM1A expression was detected in oxygen-glucose deprivation/reoxygenation (OGD/R)-treated hippocampal neurons and transient middle cerebral artery occlusion (tMCAO)-challenged mice. Treatment with ART reduced KDM1A protein level, thus protecting mouse hippocampal neurons from OGD/R-induced oxidative stress and apoptosis. In vivo, ART reduced infarct size, reduced brain content, enhanced neurological function, and enhanced neuronal survival in tMCAO. Regarding the downstream cascade, KDM1A was found to repress transcription of sphingosine kinase 2 (SPHK2) by removing H3K4me2 modification near the SPHK2 promoter. Either KDM1A overexpression or SPHK2 knockdown abrogated the neuroprotective effects of ART. The ample evidence of this study suggests that ART fulfills neuroprotective functions in the context of IS by protecting SPHK2 from KDM1A-mediated transcription repression, highlighting ART as a promising regimen for the treatment of IS.",ischemic stroke,reperfusion injury,cerebral ischemia,cerebral_ischemia reperfusion,post stroke,blood brain_barrier,0,"Artemisinin (ART), a natural product isolated from the traditional Chinese plant Artemisia annua L., has shown neuroprotective properties in addition to its well-established antimalarial activities",This study investigates the therapeutic effect of ART in ischemic stroke (IS) and delves into its functional mechanism,Bioinformatics analyses revealed lysine demethylase 1A (KDM1A) as a promising target of ART aberrantly overexpressed in the context of IS,ischemic stroke,ischemic stroke,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,True,True
2022,Predictors and Long-Term Impact of De Novo Aortic Regurgitation in Continuous Flow Left Ventricular Assist Devices Using Vena Contracta.,"The aim of this study was to identify the optimal echocardiographic measurement of aortic regurgitation (AR) in continuous flow left ventricular assist devices (LVAD) and determine risk factors and clinical implications of de novo AR. Echocardiographic images from consecutive patients who underwent LVAD implantation from February 2007 to March 2017 were reviewed. Severity of de novo AR was determined by vena contracta (VC). Preimplant clinical characteristics, LVAD settings at discharge, and outcomes including heart failure hospitalizations, all-cause mortality, and ventricular arrhythmias of patients with greater than or equal to moderate de novo AR were compared with those with mild or no AR. Among 219 patients, greater than or equal to moderate de novo AR occurred in 65 (29.7%). Left ventricular assist devices support duration was longer with greater than or equal to moderate AR than no or mild AR. In multivariable analysis, preimplant trivial AR and persistent aortic valve (AV) closure were independently associated with de novo AR. By time-varying covariate analysis, survival and freedom from cardiovascular events in greater than or equal to moderate AR were significantly worse (hazard ratio [HR] = 3.947, p < 0.001 and HR = 4.666, p < 0.001). In conclusion, de novo greater than or equal to moderate AR measured by VC increases risk of adverse events. Longer LVAD support duration, preimplant trivial AR, and a closed AV are associated with occurrence of greater than or equal to moderate de novo AR.",left_ventricular assist,left_ventricular assist device,assist device,greater_than_or_equal moderate,de_novo ar,greater_than_or_equal moderate ar,0,The aim of this study was to identify the optimal echocardiographic measurement of aortic regurgitation (AR) in continuous flow left ventricular assist devices (LVAD) and determine risk factors and clinical implications of de novo AR,Echocardiographic images from consecutive patients who underwent LVAD implantation from February 2007 to March 2017 were reviewed,Severity of de novo AR was determined by vena contracta (VC),left_ventricular assist,ventricular arrhythmia,Diagnostics & Imaging,Biomarkers,"Troponins, Natriuretic Peptides",True,False,False
2010,Does coronary calcium score predict future cardiac function? Association of subclinical atherosclerosis with left ventricular systolic and diastolic dysfunction at MR imaging in an elderly cohort.,"PURPOSE: To evaluate subclinical atherosclerosis measured by using coronary artery calcium (CAC) as a predictor of future left ventricular (LV) systolic and diastolic function in asymptomatic elderly participants. MATERIALS AND METHODS: The institutional review boards of the University of Southern California and the Harbor University of California Los Angeles Research and Education Institute (where the South Bay Heart Watch study was initially conducted) approved this HIPAA-compliant study of 386 participants (mean age, 75.2 years) from among the original 1461 participants in the longitudinal South Bay Heart Watch prospective investigation of subclinical atherosclerosis. CAC at computed tomography was correlated with LV ejection fraction (LVEF), regional wall motion abnormalities (RWMAs), and peak filling rate (PFR) assessed a mean of 11.4 years ± 0.6 (standard deviation) later with cardiac magnetic resonance imaging. Analysis of variance and covariance testing was performed with the Wald test, testing for trends across the CAC groups. Covariates included age, level of total cholesterol, level of high-density lipoprotein cholesterol, systolic blood pressure, use of lipid-lowering medication, and smoking status. RESULTS: Mean LVEF was 60.3% ± 9.9, with 11 (2.8%) of 386 participants having an LVEF of less than 40%. Forty-six (11.9%) of 386 participants had RWMAs. Higher CAC scores were associated with slightly lower LVEF (P for trend = .04) and a greater percentage of participants with decreased PFR (P for trend = .47) and RWMAs (P for trend = .01). After age- and risk factor-adjustment, only RWMA (P = .05) was associated with higher CAC. RWMAs were associated with significantly (P < .001) lower mean LVEF and PFR. Nineteen (41%) of 46 participants with RWMAs had documented Q-wave myocardial infarction, and three (7%) underwent coronary revascularization. CAC scores of 100 or greater were associated with a 2.2-fold (95% confidence interval: 1.30, 3.75) increase in RWMA (P < .001). CONCLUSION: Subclinical atherosclerosis assessed by using CAC is associated with an increased future likelihood of RWMA, as a marker of previous and possible subclinical coronary artery disease. ",left_ventricular,gene_expression,endothelial_cell,risk_factor,coronary_artery,mean_year,0," The study evaluated the relationship between subclinical atherosclerosis and future left ventricular function in asymptomatic elderly participants. 
 "," The study found that higher coronary artery calcium scores were associated with a greater percentage of participants with regional wall motion abnormalities. 
 ", The study concluded that subclinical atherosclerosis assessed by coronary artery calcium is associated with an increased likelihood of regional wall motion abnormalities,,repeat revascularization,Clinical Cardiology,Diagnostics & Imaging,Biomarkers,True,True,True
2023,Partial anomalous pulmonary venous return in adults: Insight into pulmonary hypertension.,"Partial anomalous pulmonary venous return (PAPVR) is a rare condition that may lead to pulmonary arterial hypertension (PAH). We sought to determine the prevalence of PAPVR, the follow-up rate of incidentally discovered PAPVR, the repercussions of volume and pressure overload on the right ventricle (RV), and the prevalence and predictors of PAH.",venous_return adults insight,venous_return adults,partial anomalous_pulmonary venous_return,pulmonary_arterial_hypertension_ pah,pulmonary_hypertension_ ph,ph _is,0,Partial anomalous pulmonary venous return (PAPVR) is a rare condition that may lead to pulmonary arterial hypertension (PAH),"We sought to determine the prevalence of PAPVR, the follow-up rate of incidentally discovered PAPVR, the repercussions of volume and pressure overload on the right ventricle (RV), and the prevalence and predictors of PAH.",,venous_return adults insight,venous_return adults insight,Clinical Cardiology,Other Clinical Areas,Valvular Heart Disease,True,True,False
2025,Advanced Computed Tomography and Magnetic Resonance Imaging in Ischemic and Nonischemic Cardiomyopathies.,"Cardiomyopathies represent a diverse group of heart diseases that can be broadly classified into ischemic and nonischemic etiologies, each requiring distinct diagnostic approaches. Noninvasive imaging modalities, such as computed tomography (CT) and magnetic resonance imaging (MRI), play a pivotal role in the diagnosis, risk stratification, and prognosis of these conditions. This paper reviews the characteristic CT and MRI findings associated with ischemic cardiomyopathy (ICM) and nonischemic cardiomyopathy (NICM), focusing on their ability to provide detailed anatomical, functional, and tissue characterization. In ICM, CT and MRI reveal myocardial scarring, infarct size, and coronary artery disease, while MRI further distinguishes tissue viability through late gadolinium enhancement (LGE). Conversely, nonischemic cardiomyopathies demonstrate a wide array of findings, with MRI's LGE pattern analysis being particularly critical for identifying specific subtypes, such as restrictive, hypertrophic, or dilated cardiomyopathies. By comparing the strengths and limitations of these modalities, this paper highlights their complementary roles in improving diagnostic accuracy, risk stratification, prognosis, and therapeutic decision making in both ischemic and nonischemic cardiomyopathies.",nonischemic cardiomyopathies,magnetic_resonance imaging ischemic,magnetic_resonance imaging,ischemic nonischemic,ct mri,risk_stratification prognosis,0,"Cardiomyopathies represent a diverse group of heart diseases that can be broadly classified into ischemic and nonischemic etiologies, each requiring distinct diagnostic approaches","Noninvasive imaging modalities, such as computed tomography (CT) and magnetic resonance imaging (MRI), play a pivotal role in the diagnosis, risk stratification, and prognosis of these conditions","This paper reviews the characteristic CT and MRI findings associated with ischemic cardiomyopathy (ICM) and nonischemic cardiomyopathy (NICM), focusing on their ability to provide detailed anatomical, functional, and tissue characterization",nonischemic cardiomyopathies,nonischemic cardiomyopathies,Diagnostics & Imaging,Imaging Modalities,Cardiac MRI & CT,True,True,True
2008,"L-4F treatment reduces adiposity, increases adiponectin levels, and improves insulin sensitivity in obese mice.","We hypothesized that the apolipoprotein mimetic peptide L-4F, which induces arterial anti-oxidative enzymes and is vasoprotective in a rat model of diabetes, would ameliorate insulin resistance and diabetes in obese mice. L-4F (2 mg/kg/d) administered to ob/ob mice for 6 weeks limited weight gain without altering food intake, decreased visceral (P < 0.02) and subcutaneous (P < 0.045) fat content, decreased plasma IL-1beta and IL-6 levels (P < 0.05) and increased insulin sensitivity, resulting in decreased glucose (P < 0.001) and insulin (P < 0.036) levels. In addition, L-4F treatment increased aortic and bone marrow heme oxygenase (HO) activity and decreased aortic and bone marrow superoxide production (P < 0.001). L-4F treatment increased serum adiponectin levels (P < 0.037) and decreased adipogenesis in mouse bone marrow (P < 0.039) and in cultures of human bone marrow-derived mesenchymal stem cells (P < 0.022). This was manifested by reduced adiposity, improved insulin sensitivity, improved glucose tolerance, increased plasma adiponectin levels, and reduced IL-1beta and IL-6 levels in obese mice. This study highlights the existence of a temporal relationship between HO-1 and adiponectin that is positively affected by L-4F in the ob/ob mouse model of diabetes, resulting in the amelioration of the deleterious effects of diabetes. ",gene_expression,endothelial_cell,coronary_artery,protein_kinase,male_female,methods_result,0," The peptide L-4F has been shown to be vasoprotective in a rat model of diabetes. 
 "," In this study, L-4F was administered to obese mice for 6 weeks, resulting in decreased weight gain, fat content, and glucose levels. 
 "," L-4F treatment increased heme oxygenase activity, adiponectin levels, and insulin sensitivity, and decreased inflammation and adipogenesis in obese mice",,diabetes and cardiovascular complications,Pharmacology & Therapeutics,Novel / Targeted Therapies,Gene‐Based & Biologic Drugs,True,True,True
2014,Forward and backward wave morphology and central pressure augmentation in men and women in the Framingham Heart Study.,"Central pressure augmentation is associated with greater backward wave amplitude and shorter transit time and is higher in women for reasons only partially elucidated. Augmentation also is affected by left ventricular function and shapes of the forward and backward waves. The goal of this study was to examine the relative contributions of forward and backward wave morphology to central pressure augmentation in men and women. From noninvasive measurements of central pressure and flow in 7437 participants (4036 women) aged from 19 to 90 years (mean age, 51 years), we calculated several variables: augmentation index, backward wave arrival time, reflection factor, forward wave amplitude, forward wave peak width, and slope of the backward wave upstroke. Linear regression models for augmentation index, adjusted for height and heart rate, demonstrated nonlinear relations with age (age: B=4.6±0.1%; P<0.001; age2: B=−4.2±0.1%; P<0.001) and higher augmentation in women (B=4.5±0.4%; P<0.001; model R2=0.35). Addition of reflection factor and backward wave arrival time improved model fit (R2=0.62) and reduced the age coefficients: age (B=2.3±0.1%; P<0.001) and age2 (B=−2.2±0.1%; P<0.001). Addition of width of forward wave peak, slope of backward wave upstroke, and forward wave amplitude further improved model fit (R2=0.75) and attenuated the sex coefficient (B=1.9±0.2%; P<0.001). Thus, shape and amplitude of the forward wave may be important correlates of augmentation index, and part of the sex difference in augmentation index may be explained by forward and backward wave morphology. ",gene_expression,endothelial_cell,coronary_artery,receptor_antagonist,relative_risk,risk_factor,0," Central pressure augmentation is associated with greater backward wave amplitude and shorter transit time, and is higher in women for reasons not fully understood. 
 "," The study examined the contributions of forward and backward wave morphology to central pressure augmentation in men and women. 
 "," The study found that the shape and amplitude of the forward wave may be important correlates of augmentation index, and part of the sex difference in augmentation index may be explained by forward and backward wave morphology",,post stroke aphasia,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,False,False
2010,CHD7 cooperates with PBAF to control multipotent neural crest formation.,"Heterozygous mutations in the gene encoding the CHD (chromodomain helicase DNA-binding domain) member CHD7, an ATP-dependent chromatin remodeller homologous to the Drosophila trithorax-group protein Kismet, result in a complex constellation of congenital anomalies called CHARGE syndrome, which is a sporadic, autosomal dominant disorder characterized by malformations of the craniofacial structures, peripheral nervous system, ears, eyes and heart. Although it was postulated 25 years ago that CHARGE syndrome results from the abnormal development of the neural crest, this hypothesis remained untested. Here we show that, in both humans and Xenopus, CHD7 is essential for the formation of multipotent migratory neural crest (NC), a transient cell population that is ectodermal in origin but undergoes a major transcriptional reprogramming event to acquire a remarkably broad differentiation potential and ability to migrate throughout the body, giving rise to craniofacial bones and cartilages, the peripheral nervous system, pigmentation and cardiac structures. We demonstrate that CHD7 is essential for activation of the NC transcriptional circuitry, including Sox9, Twist and Slug. In Xenopus embryos, knockdown of Chd7 or overexpression of its catalytically inactive form recapitulates all major features of CHARGE syndrome. In human NC cells CHD7 associates with PBAF (polybromo- and BRG1-associated factor-containing complex) and both remodellers occupy a NC-specific distal SOX9 enhancer and a conserved genomic element located upstream of the TWIST1 gene. Consistently, during embryogenesis CHD7 and PBAF cooperate to promote NC gene expression and cell migration. Our work identifies an evolutionarily conserved role for CHD7 in orchestrating NC gene expression programs, provides insights into the synergistic control of distal elements by chromatin remodellers, illuminates the patho-embryology of CHARGE syndrome, and suggests a broader function for CHD7 in the regulation of cell motility. ",gene_expression,endothelial_cell,coronary_artery,gene_expression,shear_stress,first_time,1," CHARGE syndrome is a rare genetic disorder caused by mutations in the CHD7 gene. 
 "," CHD7 is essential for the formation and migration of neural crest cells, which are responsible for the development of various tissues and organs. 
 "," The study shows that CHD7 is necessary for the activation of the neural crest transcriptional circuitry and is involved in the regulation of cell motility, and that its dysfunction leads to CHARGE syndrome",gene_expression,gene_expression,Basic / Translational Research,Genetic & Epigenetic Studies,Gene Editing & Knockouts,True,True,False
2023,Performance of the Pooled Cohort Equations in non-alcoholic fatty liver disease: The Multi-Ethnic Study of Atherosclerosis.,Non-alcoholic fatty liver disease (NAFLD) is associated with a high risk of cardiovascular disease. Whether risk scores developed in the general population accurately assess cardiovascular risk in the NAFLD population is unknown. This study aimed to evaluate the performance of the Pooled Cohort Equations (PCE) in NAFLD.,liver disease,associated_steatotic_liver disease,metabolic_dysfunction associated_steatotic_liver,non alcoholic_fatty_liver_disease,alcoholic_fatty_liver_disease nafld,non alcoholic_fatty_liver_disease nafld,0,Non-alcoholic fatty liver disease (NAFLD) is associated with a high risk of cardiovascular disease,Whether risk scores developed in the general population accurately assess cardiovascular risk in the NAFLD population is unknown,This study aimed to evaluate the performance of the Pooled Cohort Equations (PCE) in NAFLD.,liver disease,liver disease,Epidemiology & Risk Factors,Metabolic Syndrome & Obesity,Insulin Resistance & Diabetes,True,True,False
2005,Postconditioning via stuttering reperfusion limits myocardial infarct size in rabbit hearts: role of ERK1/2.,"Emerging evidence suggests that restoration of blood flow in a stuttering manner may limit lethal myocardial ischemia-reperfusion injury. However, the mechanisms contributing to this phenomenon, termed postconditioning (post-C), remain poorly defined. Our aim was to test the hypothesis that activation of classic ""survival kinases,"" phosphatidylinositol 3-kinase (PI3-kinase) and/or extracellular signal-regulated kinase (ERK)1/2, may play a role in post-C-induced cardioprotection. In protocol 1, isolated buffer-perfused rabbit hearts underwent 30 min of sustained coronary artery occlusion and were randomized to receive abrupt reperfusion (controls) or four cycles of 30 s of reperfusion and 30 s of reocclusion before full restoration of flow (post-C). Protocol 2 was identical except control and postconditioned hearts received the PI3-kinase inhibitor LY-294002 (protocol 2A) or the ERK1/2 antagonist PD-98059 (protocol 2B) throughout the first 25 min of reperfusion, whereas in protocol 3, myocardial samples were obtained during the early minutes of reflow from additional control, postconditioned, and nonischemic sham hearts for the assessment, by standard immunoblotting, of phospho-Akt (downstream target of PI3-kinase) and phospho-ERK. Protocols 1 and 2 corroborated that infarct size (delineated by tetrazolium staining and expressed as a percent of risk region) was reduced in postconditioned hearts vs. control hearts and also revealed that post-C-induced cardioprotection was maintained despite LY-294002 treatment but was abrogated by PD-98059. These pharmacological data were supported by protocol 3, which showed increased immunoreactivity of phospho-ERK but not phospho-Akt with post-C. Thus our results implicate the involvement of ERK1/2 rather than PI3-kinase/Akt in the reduction of infarct size achieved with post-C. ",gene_expression,endothelial_cell,coronary_artery,myocardial_infarction,methods_result,endothelial_cell,1," Postconditioning, a method of restoring blood flow in a stuttering manner, may limit lethal myocardial ischemia-reperfusion injury. 
 "," The study tested the hypothesis that activation of survival kinases, PI3-kinase and/or ERK1/2, play a role in postconditioning-induced cardioprotection. 
 "," The study found that ERK1/2 activation, not PI3-kinase/Akt, is involved in the reduction of infarct size achieved with postconditioning",,,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,True,True
2012,Activating autoantibodies to the angiotensin II type I receptor play an important role in mediating hypertension in response to adoptive transfer of CD4+ T lymphocytes from placental ischemic rats.,"Hypertension in rats with chronic placental ischemia (reduced uterine perfusion pressure, RUPP) is associated with elevated inflammatory cytokines, agonistic autoantibodies to the angiotensin II type I receptor (AT1-AA) and CD4(+) T cells; all of which are elevated in preclamptic women. Additionally, we have shown that adoptive transfer of RUPP CD4(+) T cells increases blood pressure, inflammatory cytokines, and sFlt-1. The objective of this study was to determine the long-term effects of RUPP CD4(+) T cells on AT1-AA, renal and systemic hemodynamics in pregnant rats. To answer this question CD4(+) T splenocytes were magnetically isolated on day 19 of gestation from control RUPP and normal pregnant (NP) rats and injected into a new group of NP rats at day 13 of gestation. On day 19 of gestation mean arterial pressure (MAP) and renal function (glomerular filtration rates, GFR) were analyzed and serum collected for AT1-AA analysis. To determine a role for AT1-AA to mediate RUPP CD4(+) T cell-induced blood pressure increases, MAP was analyzed in a second group of rats treated with AT1 receptor blockade losartan (10 mg·kg(-1)·day(-1)) and in a third group of rats treated with rituximab, a B cell-depleting agent (250 mg/kg) we have shown previously to decrease AT1-AA production in RUPP rats. MAP increased from 101 ± 2 mmHg NP to 126 ± 2 mmHg in RUPP rats (P < 0.001) and to 123 ± 1 mmHg in NP rats injected with RUPP CD4(+) T cells (NP+RUPP CD4(+)T cells) (P < 0.001). Furthermore, GFR decreased from 2.2 ml/min (n = 7) in NP rats to 1.0 ml/min (n = 5) NP+RUPP CD4(+)T cell. Circulating AT1-AA increased from 0.22 ± 0.1 units in NP rats to 13 ± 0.7 (P < 0.001) units in NP+RUPP CD4(+)T cell-treated rats but decreased to 8.34 ± 1 beats/min in NP+RUPP CD4(+) T cells chronically treated with rituximab. Hypertension in NP+RUPP CD4(+)T cell group was attenuated by losartan (102 ± 4 mmHg) and with B cell depletion (101 ± 5 mmHg). Therefore, we conclude that one mechanism of hypertension in response to CD4(+) T lymphocytes activated during placental ischemia is via AT1 receptor activation, potentially via AT1-AA during pregnancy. ",gene_expression,endothelial_cell,coronary_artery,voltage_dependent,methods_result,myocardial_infarction,0," Chronic placental ischemia in rats is associated with hypertension, inflammation, and elevated autoantibodies to the angiotensin II type I receptor. 
 "," The study found that CD4(+) T cells from rats with placental ischemia increased blood pressure, inflammatory cytokines, and sFlt-1 when transferred to normal pregnant rats. 
 ", The study suggests that AT1 receptor activation and AT1-AA may play a role in hypertension caused by CD4(+) T cells activated during placental ischemia,,hypertension control,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,True,True
2009,Hyperhomocysteinemia promotes inflammatory monocyte generation and accelerates atherosclerosis in transgenic cystathionine beta-synthase-deficient mice.,"BACKGROUND: Hyperhomocysteinemia (HHcy) is an independent risk factor for cardiovascular disease. Monocytes display inflammatory and resident subsets and commit to specific functions in atherogenesis. In this study, we examined the hypothesis that HHcy modulates monocyte heterogeneity and leads to atherosclerosis. METHODS AND RESULTS: We established a novel atherosclerosis-susceptible mouse model with both severe HHcy and hypercholesterolemia in which the mouse cystathionine beta-synthase (CBS) and apolipoprotein E (apoE) genes are deficient and an inducible human CBS transgene is introduced to circumvent the neonatal lethality of the CBS deficiency (Tg-hCBS apoE(-/-) Cbs(-/-) mice). Severe HHcy accelerated atherosclerosis and inflammatory monocyte/macrophage accumulation in lesions and increased plasma tumor necrosis factor-alpha and monocyte chemoattractant protein-1 levels in Tg-hCBS apoE(-/-) Cbs(-/-) mice fed a high-fat diet. Furthermore, we characterized monocyte heterogeneity in Tg-hCBS apoE(-/-) Cbs(-/-) mice and another severe HHcy mouse model (Tg-S466L Cbs(-/-)) with a disease-relevant mutation (Tg-S466L) that lacks hyperlipidemia. HHcy increased monocyte population and selective expansion of inflammatory Ly-6C(hi) and Ly-6C(mid) monocyte subsets in blood, spleen, and bone marrow of Tg-S466L Cbs(-/-) and Tg-hCBS apoE(-/-) Cbs(-/-) mice. These changes were exacerbated in Tg-S466L Cbs(-/-) mice with aging. Addition of l-homocysteine (100 to 500 micromol/L), but not l-cysteine, maintained the Ly-6C(hi) subset and induced the Ly-6C(mid) subset in cultured mouse primary splenocytes. Homocysteine-induced differentiation of the Ly-6C(mid) subset was prevented by catalase plus superoxide dismutase and the NAD(P)H oxidase inhibitor apocynin. CONCLUSIONS: HHcy promotes differentiation of inflammatory monocyte subsets and their accumulation in atherosclerotic lesions via NAD(P)H oxidase-mediated oxidant stress. ",gene_expression,endothelial_cell,coronary_artery,protein_kinase,skeletal_muscle,methods_result,0," Hyperhomocysteinemia (HHcy) is an independent risk factor for cardiovascular disease, and it promotes atherosclerosis and inflammatory monocyte/macrophage accumulation in lesions.

"," HHcy increases the population and selective expansion of inflammatory Ly-6C(high) and Ly-6C(middle) monocyte subsets in blood, spleen, and bone marrow, and this expansion is exacerbated with aging.

"," HHcy promotes differentiation of inflammatory monocyte subsets and their accumulation in atherosclerotic lesions via NAD(P)H oxidase-mediated oxidant stress, and targeting this pathway may have therapeutic benefits in HHcy-associated cardiovascular disease",,,Basic / Translational Research,Molecular Mechanisms,Signaling Pathways,True,True,True
2002,Young adult bone marrow-derived endothelial precursor cells restore aging-impaired cardiac angiogenic function.,"Delivery of young bone marrow-derived stem cells offers a novel approach for restoring the impaired senescent cardiac angiogenic function that may underlie the increased morbidity and mortality associated with ischemic heart disease in older individuals. Recently, we reported that alterations in endothelial cells of the aging heart lead to a dysregulation in the cardiac myocyte platelet-derived growth factor (PDGF)-B-induced paracrine pathway, which contributes to impaired cardiac angiogenic function. Based on these results, we hypothesized that cellular restoration of the PDGF pathway by bone marrow-derived endothelial precursor cells (EPCs) could reverse the aging-associated decline in angiogenic activity. In vitro studies revealed that young murine (3-month-old) bone marrow-derived EPCs recapitulated the cardiac myocyte-induced expression of PDGF-B, whereas EPCs from the bone marrow of aging mice (18-month-old) did not express PDGF-B when cultured in the presence of cardiac myocytes. Transplantation of young, but not old, genetically marked syngeneic bone marrow cells into intact, unirradiated aging mice that populated the endogenous senescent murine bone marrow incorporated into the neovasculature of subsequently transplanted syngeneic neonatal myocardium. Moreover, the young bone marrow-derived EPCs restored the senescent host angiogenic PDGF-B induction pathway and cardiac angiogenesis, with graft survival and myocardial activity in the aging murine host (cardiac allograft viability: 3-month-old controls, 8/8; 18-month-old controls, 1/8; 18-month-old donors receiving bone marrow from 3-month-old mice, 15/16; or 18-month-old mice, 0/6; P<0.05). These results may offer a foundation for the development of novel therapies for the prevention and treatment of cardiovascular disease associated with aging. ",leave_ventricular,gene_expression,endothelial_cell,atrial_fibrillation,mean_year,endothelial_cell,1," Older individuals with ischemic heart disease have impaired cardiac angiogenic function due to senescent cardiac angiogenic dysfunction. 
 "," Young bone marrow-derived stem cells can restore impaired cardiac angiogenic function by recapitulating the cardiac myocyte-induced expression of PDGF-B. 
 "," Transplantation of young bone marrow-derived EPCs into aging mice can restore senescent host angiogenic PDGF-B induction pathway and cardiac angiogenesis, improving graft survival and myocardial activity",,platelet-derived growth factor research,Basic / Translational Research,Cell & Tissue-Level Pathophysiology,Stem Cell & Regenerative Approaches,True,True,True
